Duur;Perioden;Aantal
0;2011;69872
0;2012;66674
0;2013;65610
0;2014;59501
0;2015;60553
0;2016;59919
0;2017;60669
0;2018;59819
0;2019;59648
0;2020;58329
1;2011;72848
1;2012;71816
1;2013;67939
1;2014;67373
1;2015;61193
1;2016;62225
1;2017;61829
1;2018;62580
1;2019;62084
1;2020;62832
2;2011;74035
2;2012;72507
2;2013;71146
2;2014;67490
2;2015;66915
2;2016;61102
2;2017;62608
2;2018;62231
2;2019;63039
2;2020;62695
3;2011;69582
3;2012;73116
3;2013;71266
3;2014;70024
3;2015;66400
3;2016;66101
3;2017;60815
3;2018;62472
3;2019;62127
3;2020;62972
4;2011;66627
4;2012;68436
4;2013;71587
4;2014;69759
4;2015;68580
4;2016;65250
4;2017;65327
4;2018;60199
4;2019;61997
4;2020;61808
5;2011;65426
5;2012;65236
5;2013;66979
5;2014;69894
5;2015;68303
5;2016;67284
5;2017;64291
5;2018;64337
5;2019;59462
5;2020;61456
6;2011;66216
6;2012;63985
6;2013;63781
6;2014;65536
6;2015;68288
6;2016;66845
6;2017;66148
6;2018;63221
6;2019;63380
6;2020;58774
7;2011;69074
7;2012;64708
7;2013;62491
7;2014;62256
7;2015;63977
7;2016;66876
7;2017;65601
7;2018;65073
7;2019;62190
7;2020;62553
8;2011;70882
8;2012;67505
8;2013;63141
8;2014;61070
8;2015;60927
8;2016;62731
8;2017;65702
8;2018;64458
8;2019;63875
8;2020;61323
9;2011;67109
9;2012;69135
9;2013;65977
9;2014;61645
9;2015;59648
9;2016;59655
9;2017;61704
9;2018;64543
9;2019;63311
9;2020;62933
10;2011;71046
10;2012;65548
10;2013;67520
10;2014;64461
10;2015;60199
10;2016;58459
10;2017;58583
10;2018;60656
10;2019;63428
10;2020;62182
11;2011;70267
11;2012;69547
11;2013;63988
11;2014;65944
11;2015;62980
11;2016;58939
11;2017;57474
11;2018;57572
11;2019;59588
11;2020;62479
12;2011;67867
12;2012;68781
12;2013;68055
12;2014;62593
12;2015;64436
12;2016;61720
12;2017;57926
12;2018;56521
12;2019;56650
12;2020;58655
13;2011;66129
13;2012;66596
13;2013;67309
13;2014;66591
13;2015;61308
13;2016;63181
13;2017;60669
13;2018;56936
13;2019;55564
13;2020;55774
14;2011;63635
14;2012;64852
14;2013;65278
14;2014;65885
14;2015;65225
14;2016;60119
14;2017;62062
14;2018;59576
14;2019;55973
14;2020;54603
15;2011;61978
15;2012;62445
15;2013;63547
15;2014;64018
15;2015;64519
15;2016;63969
15;2017;59043
15;2018;60905
15;2019;58515
15;2020;55058
16;2011;62623
16;2012;60883
16;2013;61215
16;2014;62306
16;2015;62665
16;2016;63362
16;2017;62806
16;2018;58071
16;2019;59830
16;2020;57578
17;2011;64112
17;2012;61430
17;2013;59661
17;2014;60069
17;2015;61021
17;2016;61513
17;2017;62180
17;2018;61686
17;2019;57107
17;2020;58940
18;2011;67112
18;2012;62936
18;2013;60238
18;2014;58488
18;2015;58801
18;2016;59882
18;2017;60378
18;2018;61087
18;2019;60569
18;2020;56240
19;2011;65684
19;2012;65857
19;2013;61737
19;2014;59115
19;2015;57311
19;2016;57686
19;2017;58861
19;2018;59321
19;2019;59952
19;2020;59526
20;2011;66555
20;2012;64492
20;2013;64624
20;2014;60623
20;2015;57875
20;2016;56266
20;2017;56699
20;2018;57928
20;2019;58317
20;2020;58979
21;2011;63307
21;2012;65289
21;2013;63213
21;2014;63418
21;2015;59421
21;2016;56909
21;2017;55274
21;2018;55822
21;2019;56958
21;2020;57389
22;2011;61431
22;2012;62228
22;2013;64126
22;2014;62038
22;2015;62111
22;2016;58394
22;2017;55921
22;2018;54366
22;2019;54985
22;2020;56068
23;2011;60278
23;2012;60370
23;2013;61128
23;2014;62968
23;2015;60820
23;2016;60945
23;2017;57398
23;2018;55053
23;2019;53465
23;2020;54078
24;2011;59101
24;2012;59262
24;2013;59284
24;2014;60050
24;2015;61793
24;2016;59732
24;2017;59919
24;2018;56493
24;2019;54139
24;2020;52669
25;2011;55338
25;2012;58106
25;2013;58217
25;2014;58256
25;2015;58922
25;2016;60777
25;2017;58695
25;2018;58982
25;2019;55600
25;2020;53350
26;2011;53181
26;2012;54458
26;2013;57155
26;2014;57260
26;2015;57227
26;2016;58028
26;2017;59812
26;2018;57840
26;2019;58024
26;2020;54783
27;2011;51926
27;2012;52325
27;2013;53608
27;2014;56261
27;2015;56293
27;2016;56297
27;2017;57113
27;2018;58940
27;2019;56994
27;2020;57220
28;2011;54867
28;2012;51175
28;2013;51564
28;2014;52785
28;2015;55323
28;2016;55410
28;2017;55489
28;2018;56268
28;2019;58075
28;2020;56207
29;2011;56042
29;2012;54117
29;2013;50402
29;2014;50771
29;2015;51950
29;2016;54445
29;2017;54574
29;2018;54770
29;2019;55459
29;2020;57251
30;2011;58654
30;2012;55255
30;2013;53364
30;2014;49682
30;2015;50026
30;2016;51112
30;2017;53680
30;2018;53829
30;2019;53998
30;2020;54673
31;2011;54541
31;2012;57851
31;2013;54482
31;2014;52609
31;2015;49011
31;2016;49314
31;2017;50432
31;2018;52885
31;2019;53133
31;2020;53307
32;2011;56478
32;2012;53820
32;2013;57031
32;2014;53702
32;2015;51798
32;2016;48321
32;2017;48656
32;2018;49731
32;2019;52157
32;2020;52387
33;2011;58652
33;2012;55716
33;2013;53063
33;2014;56280
33;2015;52996
33;2016;51112
33;2017;47661
33;2018;48040
33;2019;48997
33;2020;51475
34;2011;60852
34;2012;57935
34;2013;54915
34;2014;52338
34;2015;55489
34;2016;52263
34;2017;50428
34;2018;47059
34;2019;47326
34;2020;48319
35;2011;62736
35;2012;60037
35;2013;57151
35;2014;54129
35;2015;51604
35;2016;54712
35;2017;51532
35;2018;49714
35;2019;46440
35;2020;46712
36;2011;67422
36;2012;61862
36;2013;59108
36;2014;56316
36;2015;53368
36;2016;50885
36;2017;53996
36;2018;50808
36;2019;49048
36;2020;45772
37;2011;65152
37;2012;66427
37;2013;60961
37;2014;58228
37;2015;55488
37;2016;52563
37;2017;50129
37;2018;53231
37;2019;50060
37;2020;48443
38;2011;71788
38;2012;64087
38;2013;65448
38;2014;60081
38;2015;57319
38;2016;54603
38;2017;51768
38;2018;49381
38;2019;52464
38;2020;49372
39;2011;73747
39;2012;70647
39;2013;63021
39;2014;64378
39;2015;59156
39;2016;56392
39;2017;53778
39;2018;50935
39;2019;48587
39;2020;51678
40;2011;72801
40;2012;72416
40;2013;69508
40;2014;61940
40;2015;63318
40;2016;58166
40;2017;55360
40;2018;52915
40;2019;50090
40;2020;47803
41;2011;68317
41;2012;71496
41;2013;71102
41;2014;68175
41;2015;60842
41;2016;62158
41;2017;57075
41;2018;54409
41;2019;51923
41;2020;49201
42;2011;66775
42;2012;66893
42;2013;70027
42;2014;69705
42;2015;66883
42;2016;59643
42;2017;60971
42;2018;55958
42;2019;53335
42;2020;50950
43;2011;64117
43;2012;65324
43;2013;65403
43;2014;68615
43;2015;68333
43;2016;65559
43;2017;58472
43;2018;59771
43;2019;54889
43;2020;52312
44;2011;59968
44;2012;62520
44;2013;63726
44;2014;63882
44;2015;67076
44;2016;66816
44;2017;64171
44;2018;57191
44;2019;58428
44;2020;53708
45;2011;56696
45;2012;58259
45;2013;60797
45;2014;62079
45;2015;62373
45;2016;65321
45;2017;65177
45;2018;62632
45;2019;55862
45;2020;57115
46;2011;50845
46;2012;54908
46;2013;56535
46;2014;59105
46;2015;60396
46;2016;60738
46;2017;63618
46;2018;63558
46;2019;61043
46;2020;54480
47;2011;44852
47;2012;49109
47;2013;53092
47;2014;54768
47;2015;57284
47;2016;58672
47;2017;59020
47;2018;61842
47;2019;61838
47;2020;59467
48;2011;41497
48;2012;43179
48;2013;47315
48;2014;51113
48;2015;53029
48;2016;55399
48;2017;56835
48;2018;57241
48;2019;59989
48;2020;60108
49;2011;38599
49;2012;39810
49;2013;41409
49;2014;45441
49;2015;49127
49;2016;51058
49;2017;53424
49;2018;54941
49;2019;55341
49;2020;58102
50;2011;34224
50;2012;36728
50;2013;37982
50;2014;39517
50;2015;43565
50;2016;46985
50;2017;49023
50;2018;51466
50;2019;52939
50;2020;53374
51;2011;31403
51;2012;32428
51;2013;34799
51;2014;36110
51;2015;37589
51;2016;41510
51;2017;44878
51;2018;46919
51;2019;49353
51;2020;50818
52;2011;29851
52;2012;29480
52;2013;30522
52;2014;32845
52;2015;34133
52;2016;35570
52;2017;39393
52;2018;42671
52;2019;44697
52;2020;47141
53;2011;27086
53;2012;27839
53;2013;27548
53;2014;28623
53;2015;30844
53;2016;32117
53;2017;33511
53;2018;37169
53;2019;40333
53;2020;42425
54;2011;23413
54;2012;25024
54;2013;25735
54;2014;25591
54;2015;26649
54;2016;28701
54;2017;29959
54;2018;31413
54;2019;34862
54;2020;37946
55;2011;19646
55;2012;21296
55;2013;22793
55;2014;23671
55;2015;23625
55;2016;24556
55;2017;26606
55;2018;27728
55;2019;29240
55;2020;32439
56;2011;16576
56;2012;17608
56;2013;19273
56;2014;20645
56;2015;21567
56;2016;21469
56;2017;22422
56;2018;24506
56;2019;25510
56;2020;26979
57;2011;13586
57;2012;14811
57;2013;15630
57;2014;17165
57;2015;18568
57;2016;19420
57;2017;19469
57;2018;20312
57;2019;22242
57;2020;23246
58;2011;11315
58;2012;11920
58;2013;12992
58;2014;13864
58;2015;15273
58;2016;16482
58;2017;17369
58;2018;17330
58;2019;18229
58;2020;20044
59;2011;9344
59;2012;9826
59;2013;10259
59;2014;11223
59;2015;12122
59;2016;13339
59;2017;14466
59;2018;15245
59;2019;15283
59;2020;16238
60;2011;6559
60;2012;7910
60;2013;8305
60;2014;8760
60;2015;9634
60;2016;10332
60;2017;11439
60;2018;12494
60;2019;13145
60;2020;13258
61;2011;5000
61;2012;5459
61;2013;6613
61;2014;6925
61;2015;7336
61;2016;8085
61;2017;8664
61;2018;9700
61;2019;10552
61;2020;11235
62;2011;3989
62;2012;4073
62;2013;4414
62;2014;5387
62;2015;5729
62;2016;6004
62;2017;6651
62;2018;7113
62;2019;7981
62;2020;8825
63;2011;3538
63;2012;3185
63;2013;3248
63;2014;3537
63;2015;4327
63;2016;4604
63;2017;4798
63;2018;5349
63;2019;5710
63;2020;6498
64;2011;2923
64;2012;2756
64;2013;2462
64;2014;2485
64;2015;2747
64;2016;3394
64;2017;3593
64;2018;3768
64;2019;4095
64;2020;4510
65;2011;1481
65;2012;2217
65;2013;2067
65;2014;1850
65;2015;1891
65;2016;2089
65;2017;2579
65;2018;2704
65;2019;2847
65;2020;3128
66;2011;717
66;2012;1115
66;2013;1631
66;2014;1542
66;2015;1387
66;2016;1373
66;2017;1514
66;2018;1921
66;2019;1982
66;2020;2113
67;2011;616
67;2012;533
67;2013;795
67;2014;1149
67;2015;1105
67;2016;1003
67;2017;988
67;2018;1121
67;2019;1366
67;2020;1433
68;2011;588
68;2012;420
68;2013;357
68;2014;562
68;2015;816
68;2016;760
68;2017;716
68;2018;660
68;2019;773
68;2020;928
69;2011;227
69;2012;401
69;2013;277
69;2014;255
69;2015;359
69;2016;557
69;2017;505
69;2018;481
69;2019;459
69;2020;504
70;2011;144
70;2012;140
70;2013;247
70;2014;171
70;2015;170
70;2016;219
70;2017;345
70;2018;322
70;2019;309
70;2020;287
Bron: CBS;;
